id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,game_date_time,game_date,PBP,team_box,player_box
240928009,s:40~l:59~e:240928009~c:240928009,2004-09-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-29T00:00Z,event,PLAYOFFS,1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,66,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",64,FALSE,240928009,2004,3,2004-09-29T00:00:00Z,2004-09-28,TRUE,FALSE,FALSE
240927014,s:40~l:59~e:240927014~c:240927014,2004-09-28T01:30Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-28T01:30Z,event,PLAYOFFS,1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,64,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,54,FALSE,240927014,2004,3,2004-09-28T01:30:00Z,2004-09-27,TRUE,TRUE,TRUE
240927018,s:40~l:59~e:240927018~c:240927018,2004-09-27T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-27T23:00Z,event,PLAYOFFS,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,80,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,70,FALSE,240927018,2004,3,2004-09-27T23:00:00Z,2004-09-27,TRUE,TRUE,TRUE
240926006,s:40~l:59~e:240926006~c:240926006,2004-09-26T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-26T20:00Z,event,PLAYOFFS,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,71,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,57,FALSE,240926006,2004,3,2004-09-26T20:00:00Z,2004-09-26,TRUE,TRUE,TRUE
240926009,s:40~l:59~e:240926009~c:240926009,2004-09-26T16:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-26T16:00Z,event,PLAYOFFS,1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,66,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",76,TRUE,240926009,2004,3,2004-09-26T16:00:00Z,2004-09-26,TRUE,TRUE,TRUE
240925008,s:40~l:59~e:240925008~c:240925008,2004-09-25T18:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-25T18:00Z,event,PLAYOFFS,1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,58,FALSE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,70,TRUE,240925008,2004,3,2004-09-25T18:00:00Z,2004-09-25,TRUE,TRUE,TRUE
240925016,s:40~l:59~e:240925016~c:240925016,2004-09-25T16:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-25T16:00Z,event,PLAYOFFS,1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,67,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,59,FALSE,240925016,2004,3,2004-09-25T16:00:00Z,2004-09-25,TRUE,TRUE,TRUE
240924013,s:40~l:59~e:240924013~c:240924013,2004-09-25T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-25T02:30Z,event,PLAYOFFS,1,STD,,"","","",,,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,72,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,52,FALSE,240924013,2004,3,2004-09-25T02:30:00Z,2004-09-24,TRUE,TRUE,TRUE
240924003,s:40~l:59~e:240924003~c:240924003,2004-09-25T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-25T00:00Z,event,PLAYOFFS,1,STD,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",62,FALSE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,75,TRUE,240924003,2004,3,2004-09-25T00:00:00Z,2004-09-24,TRUE,TRUE,TRUE
240919013,s:40~l:59~e:240919013~c:240919013,2004-09-20T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-20T02:00Z,"","",1,STD,,"","","",,,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,72,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,63,FALSE,240919013,2004,2,2004-09-20T02:00:00Z,2004-09-19,TRUE,TRUE,TRUE
240919011,s:40~l:59~e:240919011~c:240919011,2004-09-20T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-20T01:00Z,"","",1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,78,TRUE,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,64,FALSE,240919011,2004,2,2004-09-20T01:00:00Z,2004-09-19,TRUE,TRUE,TRUE
240919009,s:40~l:59~e:240919009~c:240919009,2004-09-19T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-19T20:00Z,"","",1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,79,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,75,FALSE,240919009,2004,2,2004-09-19T20:00:00Z,2004-09-19,TRUE,FALSE,FALSE
240919003,s:40~l:59~e:240919003~c:240919003,2004-09-19T18:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-19T18:00Z,"","",1,STD,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",68,TRUE,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,54,FALSE,240919003,2004,2,2004-09-19T18:00:00Z,2004-09-19,TRUE,TRUE,TRUE
240919018,s:40~l:59~e:240919018~c:240919018,2004-09-19T16:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-19T16:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,80,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,60,FALSE,240919018,2004,2,2004-09-19T16:00:00Z,2004-09-19,TRUE,TRUE,TRUE
240918013,s:40~l:59~e:240918013~c:240918013,2004-09-19T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-19T02:00Z,"","",1,STD,,"","","",,,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,68,TRUE,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,48,FALSE,240918013,2004,2,2004-09-19T02:00:00Z,2004-09-18,TRUE,TRUE,TRUE
240918014,s:40~l:59~e:240918014~c:240918014,2004-09-19T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-19T02:00Z,"","",1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,80,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,83,TRUE,240918014,2004,2,2004-09-19T02:00:00Z,2004-09-18,TRUE,TRUE,TRUE
240917006,s:40~l:59~e:240917006~c:240917006,2004-09-18T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-18T02:30Z,"","",1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,66,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,78,TRUE,240917006,2004,2,2004-09-18T02:30:00Z,2004-09-17,TRUE,TRUE,TRUE
240917011,s:40~l:59~e:240917011~c:240917011,2004-09-18T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-18T02:00Z,"","",1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,67,FALSE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,74,TRUE,240917011,2004,2,2004-09-18T02:00:00Z,2004-09-17,TRUE,TRUE,TRUE
240917017,s:40~l:59~e:240917017~c:240917017,2004-09-18T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-18T00:00Z,"","",1,STD,780,AT&T Center,San Antonio,TX,18500,FALSE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",82,TRUE,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,65,FALSE,240917017,2004,2,2004-09-18T00:00:00Z,2004-09-17,TRUE,TRUE,TRUE
240917018,s:40~l:59~e:240917018~c:240917018,2004-09-17T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-17T23:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,66,FALSE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,69,TRUE,240917018,2004,2,2004-09-17T23:00:00Z,2004-09-17,TRUE,TRUE,TRUE
240916004,s:40~l:59~e:240916004~c:240916004,2004-09-17T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-17T00:00Z,"","",1,STD,,"","","",,,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,62,FALSE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,71,TRUE,240916004,2004,2,2004-09-17T00:00:00Z,2004-09-16,TRUE,TRUE,TRUE
240916009,s:40~l:59~e:240916009~c:240916009,2004-09-16T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-16T23:30Z,event,AT RADIO CITY MUSIC HALL,1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,77,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,71,FALSE,240916009,2004,2,2004-09-16T23:30:00Z,2004-09-16,TRUE,FALSE,FALSE
240915014,s:40~l:59~e:240915014~c:240915014,2004-09-16T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-16T02:00Z,"","",1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,73,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,58,FALSE,240915014,2004,2,2004-09-16T02:00:00Z,2004-09-15,TRUE,TRUE,TRUE
240915017,s:40~l:59~e:240915017~c:240915017,2004-09-16T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-16T00:00Z,"","",1,STD,780,AT&T Center,San Antonio,TX,18500,FALSE,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",73,FALSE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,84,TRUE,240915017,2004,2,2004-09-16T00:00:00Z,2004-09-15,TRUE,TRUE,TRUE
240915001,s:40~l:59~e:240915001~c:240915001,2004-09-15T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-09-15T23:00Z,"","",1,STD,,"","","",,,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,67,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,81,TRUE,240915001,2004,2,2004-09-15T23:00:00Z,2004-09-15,TRUE,TRUE,TRUE
